bathrooms,bedrooms,num_beds,can_instant_book,price,listing_id
1,1,1,TRUE,22,20776319
1,1,1,FALSE,28,16492050
1.5,1,1,TRUE,30,14266451
1,2,2,TRUE,24,17625889
1,1,2,TRUE,21,18543147
1,1,1,TRUE,29,21853372
1,1,1,FALSE,29,8798839
1,1,1,TRUE,28,21413573
1,1,1,TRUE,24,20122417
1,1,1,TRUE,25,23809351
1,1,1,TRUE,21,12862948
1,1,1,TRUE,26,17286138
1,1,1,TRUE,32,20655429
1,1,1,TRUE,28,24555833
1,1,1,TRUE,30,22833853
1,1,1,FALSE,32,18507595
1.5,1,1,FALSE,28,20947435
1,1,1,TRUE,28,22705372
1,1,1,TRUE,25,29513553
1,1,1,TRUE,21,28490721
1,1,1,TRUE,22,10632353
1,1,1,TRUE,25,190126
1,1,1,TRUE,29,19036570
1,1,1,FALSE,21,28312546
1,1,1,FALSE,29,10207767
1,0,1,TRUE,26,24377897
1,1,1,TRUE,32,16740671
1,1,1,TRUE,24,6415019
1,1,2,TRUE,26,21974394
1,1,1,TRUE,24,11969615
1,1,1,TRUE,28,23730793
1,1,1,FALSE,32,11570240
1,1,1,TRUE,21,30928039
1,1,1,TRUE,24,33117766
1,2,2,TRUE,26,22065764
1,1,2,FALSE,22,24577793
2,1,1,TRUE,24,6767183
1,1,1,TRUE,26,12989015
1,1,1,TRUE,22,18870123
1,1,1,TRUE,21,23201934
1,1,1,TRUE,30,24170971
1,1,1,TRUE,21,20835858
1,1,2,TRUE,21,19739035
1,1,1,TRUE,30,24555702
1,1,2,TRUE,26,4396849
1,1,1,TRUE,30,21936652
1,1,2,TRUE,21,24752474
1,1,1,TRUE,28,17136468
1,1,1,TRUE,28,23078503
1,0,1,TRUE,21,20137349
1.5,1,1,FALSE,32,20988313
1,1,1,TRUE,24,21752410
1,1,2,TRUE,21,33228966
1,1,1,TRUE,30,31196720
1,1,2,TRUE,30,17140206
1,1,1,TRUE,21,28301863
1,1,1,TRUE,28,23308842
1,1,2,FALSE,24,409359
1,1,1,TRUE,30,10013056
1,1,1,TRUE,25,27902057
1,1,1,TRUE,24,16425675
1,0,1,TRUE,22,24377818
1,1,1,FALSE,28,18549132
1,0,1,TRUE,21,19858708
2,1,1,TRUE,24,9965590
4,1,1,TRUE,28,13724596
1,2,2,TRUE,26,2331981
1.5,1,2,TRUE,29,14237592
1,1,1,TRUE,24,1831174
1,1,1,TRUE,28,24555306
1,0,1,TRUE,21,33117928
1,1,1,TRUE,22,23837701
1,1,2,TRUE,30,17159245
1,1,1,TRUE,22,9156189
1.5,1,1,TRUE,22,18182401
1,1,1,TRUE,24,31223434
1,1,1,TRUE,28,7236402
1.5,1,2,TRUE,29,14231127
1,1,1,FALSE,28,22431657
1,1,1,TRUE,25,19985954
1,2,0,TRUE,32,30578135
1,1,2,FALSE,28,22845476
1,1,2,TRUE,28,23726305
1,1,1,TRUE,21,13856179
1,1,1,TRUE,22,12855877
1,1,1,TRUE,21,24760436
1,1,1,TRUE,32,33742962
1,1,1,TRUE,22,18754474
1,1,1,FALSE,32,26412295
1,1,2,TRUE,24,30552489
1,1,1,TRUE,28,10156181
1,1,1,TRUE,26,24469322
1,1,1,TRUE,21,20014075
1,1,1,TRUE,24,33019622
1.5,1,1,TRUE,21,15343470
1,2,2,FALSE,22,30144862
1,1,1,TRUE,28,28188900
1,1,1,TRUE,22,11562501
1,1,1,TRUE,30,22505317
1,1,1,TRUE,22,14822453
1,2,7,TRUE,24,311921
1,2,2,TRUE,28,35087183
