bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,price,url,listing_key,price_in_usd
1.0,1.0,1,True,True,True,False,private_room,2,21.13566,-86.76741,22,https://www.airbnb.com/rooms/20776319,20776319,16.541353383458645
1.0,1.0,1,False,True,True,False,private_room,2,21.14571,-86.8419,28,https://www.airbnb.com/rooms/16492050,16492050,21.052631578947366
1.5,1.0,1,True,True,False,False,private_room,2,21.13119,-86.76394,30,https://www.airbnb.com/rooms/14266451,14266451,22.55639097744361
1.0,2.0,2,True,True,True,False,entire_home,5,21.15737,-86.83975,24,https://www.airbnb.com/rooms/17625889,17625889,18.045112781954888
1.0,1.0,2,True,True,False,False,entire_home,3,21.153270000000006,-86.85548,21,https://www.airbnb.com/rooms/18543147,18543147,15.789473684210526
1.0,1.0,1,True,True,True,False,entire_home,2,21.16548,-86.83124000000002,29,https://www.airbnb.com/rooms/21853372,21853372,21.804511278195488
1.0,1.0,1,False,True,True,False,private_room,2,21.15451,-86.82283000000002,29,https://www.airbnb.com/rooms/8798839,8798839,21.804511278195488
1.0,1.0,1,True,True,True,False,private_room,3,21.184435,-86.83049799999998,28,https://www.airbnb.com/rooms/21413573,21413573,21.052631578947366
1.0,1.0,1,True,True,False,False,private_room,2,21.14824,-86.82724,24,https://www.airbnb.com/rooms/20122417,20122417,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,2,21.15759,-86.83295,25,https://www.airbnb.com/rooms/23809351,23809351,18.796992481203006
1.0,1.0,1,True,True,True,False,private_room,2,21.15632,-86.82755,21,https://www.airbnb.com/rooms/12862948,12862948,15.789473684210526
1.0,1.0,1,True,True,False,False,entire_home,3,21.136717,-86.768501,26,https://www.airbnb.com/rooms/17286138,17286138,19.548872180451127
1.0,1.0,1,True,True,True,False,entire_home,3,21.152481,-86.82589,32,https://www.airbnb.com/rooms/20655429,20655429,24.06015037593985
1.0,1.0,1,True,True,False,False,entire_home,2,21.182236,-86.813423,28,https://www.airbnb.com/rooms/24555833,24555833,21.052631578947366
1.0,1.0,1,True,True,True,False,private_room,2,21.14624,-86.84818,30,https://www.airbnb.com/rooms/22833853,22833853,22.55639097744361
1.0,1.0,1,False,True,True,False,private_room,2,21.14992,-86.84555999999998,32,https://www.airbnb.com/rooms/18507595,18507595,24.06015037593985
1.5,1.0,1,False,True,True,False,private_room,2,21.15451,-86.82403599999998,28,https://www.airbnb.com/rooms/20947435,20947435,21.052631578947366
1.0,1.0,1,True,True,False,False,private_room,2,21.135078,-86.754189,28,https://www.airbnb.com/rooms/22705372,22705372,21.052631578947366
1.0,1.0,1,True,True,True,False,private_room,2,21.154005,-86.82416500000002,25,https://www.airbnb.com/rooms/29513553,29513553,18.796992481203006
1.0,1.0,1,True,True,False,False,private_room,2,21.164539,-86.82249499999998,21,https://www.airbnb.com/rooms/28490721,28490721,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.14912,-86.82649,22,https://www.airbnb.com/rooms/10632353,10632353,16.541353383458645
1.0,1.0,1,True,True,True,False,entire_home,2,21.165768,-86.828506,25,https://www.airbnb.com/rooms/190126,190126,18.796992481203006
1.0,1.0,1,True,True,True,False,entire_home,2,21.16495,-86.82905,29,https://www.airbnb.com/rooms/19036570,19036570,21.804511278195488
1.0,1.0,1,False,True,True,False,private_room,2,21.146681,-86.842606,21,https://www.airbnb.com/rooms/28312546,28312546,15.789473684210526
1.0,1.0,1,False,True,True,False,private_room,2,21.15504,-86.82293,29,https://www.airbnb.com/rooms/10207767,10207767,21.804511278195488
1.0,0.0,1,True,True,True,False,entire_home,2,21.16232,-86.83354,26,https://www.airbnb.com/rooms/24377897,24377897,19.548872180451127
1.0,1.0,1,True,True,True,False,private_room,2,21.14609,-86.84891999999998,32,https://www.airbnb.com/rooms/16740671,16740671,24.06015037593985
1.0,1.0,1,True,True,True,False,private_room,2,21.15151,-86.842339,24,https://www.airbnb.com/rooms/6415019,6415019,18.045112781954888
1.0,1.0,2,True,True,True,False,entire_home,3,21.14354,-86.82699000000002,26,https://www.airbnb.com/rooms/21974394,21974394,19.548872180451127
1.0,1.0,1,True,True,True,False,private_room,2,21.15569,-86.82760999999998,24,https://www.airbnb.com/rooms/11969615,11969615,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,2,21.157784,-86.839554,28,https://www.airbnb.com/rooms/23730793,23730793,21.052631578947366
1.0,1.0,1,False,True,True,False,private_room,2,21.15324,-86.823,32,https://www.airbnb.com/rooms/11570240,11570240,24.06015037593985
1.0,1.0,1,True,True,False,False,entire_home,2,21.16205,-86.82624,21,https://www.airbnb.com/rooms/30928039,30928039,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.15286,-86.82743,24,https://www.airbnb.com/rooms/33117766,33117766,18.045112781954888
1.0,2.0,2,True,True,False,False,entire_home,6,21.1375,-86.76980999999998,26,https://www.airbnb.com/rooms/22065764,22065764,19.548872180451127
1.0,1.0,2,False,True,True,False,private_room,3,21.14671,-86.84276,22,https://www.airbnb.com/rooms/24577793,24577793,16.541353383458645
2.0,1.0,1,True,True,True,False,private_room,2,21.13808,-86.83873,24,https://www.airbnb.com/rooms/6767183,6767183,18.045112781954888
1.0,1.0,1,True,True,True,False,private_room,2,21.13926,-86.83917,26,https://www.airbnb.com/rooms/12989015,12989015,19.548872180451127
1.0,1.0,1,True,True,True,False,private_room,2,21.10918,-86.88458,22,https://www.airbnb.com/rooms/18870123,18870123,16.541353383458645
1.0,1.0,1,True,True,True,False,private_room,2,21.162701,-86.833084,21,https://www.airbnb.com/rooms/23201934,23201934,15.789473684210526
1.0,1.0,1,True,True,True,False,entire_home,3,21.15946,-86.82208,30,https://www.airbnb.com/rooms/24170971,24170971,22.55639097744361
1.0,1.0,1,True,True,True,False,private_room,2,21.16453,-86.82258,21,https://www.airbnb.com/rooms/20835858,20835858,15.789473684210526
1.0,1.0,2,True,True,True,False,private_room,3,21.16504,-86.82469,21,https://www.airbnb.com/rooms/19739035,19739035,15.789473684210526
1.0,1.0,1,True,True,False,False,entire_home,2,21.182215,-86.813377,30,https://www.airbnb.com/rooms/24555702,24555702,22.55639097744361
1.0,1.0,2,True,True,True,False,private_room,3,21.151035,-86.842438,26,https://www.airbnb.com/rooms/4396849,4396849,19.548872180451127
1.0,1.0,1,True,True,True,False,entire_home,3,21.15894,-86.84039,30,https://www.airbnb.com/rooms/21936652,21936652,22.55639097744361
1.0,1.0,2,True,True,False,False,entire_home,4,21.184929,-86.814926,21,https://www.airbnb.com/rooms/24752474,24752474,15.789473684210526
